DATE,WPUSI012011
1956-12-01,32.6
1957-01-01,32.6
1957-02-01,32.6
1957-03-01,32.6
1957-04-01,32.7
1957-05-01,32.7
1957-06-01,32.7
1957-07-01,32.9
1957-08-01,32.8
1957-09-01,32.7
1957-10-01,32.6
1957-11-01,32.5
1957-12-01,32.5
1958-01-01,32.6
1958-02-01,32.5
1958-03-01,32.4
1958-04-01,32.3
1958-05-01,32.3
1958-06-01,32.4
1958-07-01,32.4
1958-08-01,32.7
1958-09-01,33.0
1958-10-01,33.0
1958-11-01,33.0
1958-12-01,33.0
1959-01-01,33.1
1959-02-01,33.3
1959-03-01,33.4
1959-04-01,33.7
1959-05-01,34.0
1959-06-01,34.0
1959-07-01,33.8
1959-08-01,33.8
1959-09-01,33.7
1959-10-01,33.7
1959-11-01,33.7
1959-12-01,33.7
1960-01-01,33.8
1960-02-01,33.7
1960-03-01,33.7
1960-04-01,33.6
1960-05-01,33.5
1960-06-01,33.2
1960-07-01,33.0
1960-08-01,32.9
1960-09-01,32.8
1960-10-01,32.6
1960-11-01,32.6
1960-12-01,32.5
1961-01-01,32.5
1961-02-01,32.5
1961-03-01,32.5
1961-04-01,32.7
1961-05-01,32.7
1961-06-01,32.6
1961-07-01,32.6
1961-08-01,32.5
1961-09-01,32.5
1961-10-01,32.4
1961-11-01,32.4
1961-12-01,32.4
1962-01-01,32.4
1962-02-01,32.5
1962-03-01,32.6
1962-04-01,32.6
1962-05-01,32.6
1962-06-01,32.5
1962-07-01,32.5
1962-08-01,32.4
1962-09-01,32.4
1962-10-01,32.4
1962-11-01,32.3
1962-12-01,32.3
1963-01-01,32.3
1963-02-01,32.2
1963-03-01,32.3
1963-04-01,32.3
1963-05-01,32.4
1963-06-01,32.4
1963-07-01,32.8
1963-08-01,32.9
1963-09-01,32.7
1963-10-01,32.6
1963-11-01,32.6
1963-12-01,32.6
1964-01-01,32.6
1964-02-01,32.7
1964-03-01,32.8
1964-04-01,32.9
1964-05-01,32.9
1964-06-01,32.9
1964-07-01,32.9
1964-08-01,32.9
1964-09-01,32.9
1964-10-01,32.9
1964-11-01,32.9
1964-12-01,32.9
1965-01-01,33.0
1965-02-01,33.1
1965-03-01,33.0
1965-04-01,33.1
1965-05-01,33.2
1965-06-01,33.2
1965-07-01,33.3
1965-08-01,33.4
1965-09-01,33.4
1965-10-01,33.4
1965-11-01,33.4
1965-12-01,33.5
1966-01-01,33.6
1966-02-01,33.8
1966-03-01,34.1
1966-04-01,34.4
1966-05-01,34.7
1966-06-01,34.6
1966-07-01,34.5
1966-08-01,34.5
1966-09-01,34.4
1966-10-01,34.4
1966-11-01,34.3
1966-12-01,34.3
1967-01-01,34.4
1967-02-01,34.5
1967-03-01,34.5
1967-04-01,34.5
1967-05-01,34.4
1967-06-01,34.5
1967-07-01,34.6
1967-08-01,34.8
1967-09-01,35.1
1967-10-01,35.0
1967-11-01,35.0
1967-12-01,35.2
1968-01-01,35.5
1968-02-01,35.9
1968-03-01,36.2
1968-04-01,36.4
1968-05-01,36.4
1968-06-01,36.5
1968-07-01,36.6
1968-08-01,36.8
1968-09-01,37.0
1968-10-01,37.2
1968-11-01,37.5
1968-12-01,38.1
1969-01-01,38.7
1969-02-01,39.5
1969-03-01,40.1
1969-04-01,39.6
1969-05-01,39.2
1969-06-01,38.5
1969-07-01,37.6
1969-08-01,38.2
1969-09-01,38.2
1969-10-01,38.3
1969-11-01,38.5
1969-12-01,38.5
1970-01-01,38.7
1970-02-01,38.7
1970-03-01,38.8
1970-04-01,39.0
1970-05-01,39.1
1970-06-01,39.1
1970-07-01,39.2
1970-08-01,39.3
1970-09-01,39.2
1970-10-01,39.2
1970-11-01,39.1
1970-12-01,39.0
1971-01-01,39.4
1971-02-01,39.9
1971-03-01,40.7
1971-04-01,41.0
1971-05-01,41.1
1971-06-01,41.3
1971-07-01,42.0
1971-08-01,42.7
1971-09-01,42.7
1971-10-01,42.4
1971-11-01,42.4
1971-12-01,42.5
1972-01-01,42.8
1972-02-01,43.1
1972-03-01,43.4
1972-04-01,43.6
1972-05-01,43.8
1972-06-01,44.0
1972-07-01,44.2
1972-08-01,44.4
1972-09-01,44.4
1972-10-01,44.5
1972-11-01,44.6
1972-12-01,44.6
1973-01-01,44.9
1973-02-01,45.9
1973-03-01,47.3
1973-04-01,48.3
1973-05-01,48.9
1973-06-01,48.6
1973-07-01,48.1
1973-08-01,48.2
1973-09-01,48.6
1973-10-01,48.7
1973-11-01,49.4
1973-12-01,49.8
1974-01-01,50.6
1974-02-01,51.0
1974-03-01,52.7
1974-04-01,54.4
1974-05-01,55.8
1974-06-01,56.6
1974-07-01,57.7
1974-08-01,58.5
1974-09-01,58.8
1974-10-01,58.1
1974-11-01,57.9
1974-12-01,58.0
1975-01-01,58.8
1975-02-01,59.6
1975-03-01,59.6
1975-04-01,60.1
1975-05-01,60.8
1975-06-01,60.6
1975-07-01,60.5
1975-08-01,60.6
1975-09-01,60.7
1975-10-01,61.1
1975-11-01,61.0
1975-12-01,61.6
1976-01-01,62.5
1976-02-01,63.1
1976-03-01,64.0
1976-04-01,64.3
1976-05-01,64.5
1976-06-01,64.5
1976-07-01,65.2
1976-08-01,65.9
1976-09-01,66.7
1976-10-01,66.9
1976-11-01,66.9
1976-12-01,68.0
1977-01-01,68.2
1977-02-01,68.5
1977-03-01,69.2
1977-04-01,69.8
1977-05-01,70.0
1977-06-01,70.2
1977-07-01,71.4
1977-08-01,72.3
1977-09-01,73.5
1977-10-01,73.1
1977-11-01,72.9
1977-12-01,73.5
1978-01-01,74.9
1978-02-01,76.3
1978-03-01,77.1
1978-04-01,78.0
1978-05-01,78.5
1978-06-01,79.3
1978-07-01,79.6
1978-08-01,80.6
1978-09-01,80.9
1978-10-01,81.3
1978-11-01,82.2
1978-12-01,82.3
1979-01-01,83.8
1979-02-01,84.8
1979-03-01,85.7
1979-04-01,86.8
1979-05-01,86.9
1979-06-01,86.9
1979-07-01,87.6
1979-08-01,88.3
1979-09-01,89.1
1979-10-01,89.7
1979-11-01,89.1
1979-12-01,88.7
1980-01-01,90.0
1980-02-01,91.2
1980-03-01,92.0
1980-04-01,91.1
1980-05-01,90.9
1980-06-01,91.7
1980-07-01,92.7
1980-08-01,93.6
1980-09-01,93.5
1980-10-01,93.7
1980-11-01,94.4
1980-12-01,95.2
1981-01-01,96.0
1981-02-01,96.2
1981-03-01,97.0
1981-04-01,98.6
1981-05-01,98.7
1981-06-01,99.0
1981-07-01,99.2
1981-08-01,99.1
1981-09-01,98.7
1981-10-01,98.8
1981-11-01,98.6
1981-12-01,99.0
1982-01-01,99.5
1982-02-01,99.6
1982-03-01,99.8
1982-04-01,100.1
1982-05-01,100.1
1982-06-01,100.5
1982-07-01,100.4
1982-08-01,100.1
1982-09-01,100.1
1982-10-01,100.0
1982-11-01,99.9
1982-12-01,100.0
1983-01-01,100.8
1983-02-01,102.3
1983-03-01,102.4
1983-04-01,102.8
1983-05-01,103.0
1983-06-01,103.7
1983-07-01,103.9
1983-08-01,104.1
1983-09-01,104.1
1983-10-01,104.3
1983-11-01,104.3
1983-12-01,104.6
1984-01-01,105.0
1984-02-01,105.9
1984-03-01,106.4
1984-04-01,106.6
1984-05-01,106.3
1984-06-01,106.3
1984-07-01,106.5
1984-08-01,106.8
1984-09-01,106.7
1984-10-01,106.7
1984-11-01,106.6
1984-12-01,106.8
1985-01-01,107.1
1985-02-01,107.0
1985-03-01,107.1
1985-04-01,107.2
1985-05-01,107.9
1985-06-01,108.5
1985-07-01,108.2
1985-08-01,107.9
1985-09-01,107.4
1985-10-01,107.5
1985-11-01,107.3
1985-12-01,107.6
1986-01-01,106.7
1986-02-01,106.7
1986-03-01,106.9
1986-04-01,107.6
1986-05-01,107.7
1986-06-01,107.4
1986-07-01,107.5
1986-08-01,107.4
1986-09-01,107.7
1986-10-01,107.6
1986-11-01,107.6
1986-12-01,107.3
1987-01-01,107.6
1987-02-01,107.9
1987-03-01,108.1
1987-04-01,108.3
1987-05-01,108.3
1987-06-01,108.6
1987-07-01,109.2
1987-08-01,109.7
1987-09-01,110.5
1987-10-01,111.5
1987-11-01,112.2
1987-12-01,112.6
1988-01-01,113.9
1988-02-01,114.0
1988-03-01,114.2
1988-04-01,114.9
1988-05-01,115.2
1988-06-01,115.3
1988-07-01,115.9
1988-08-01,116.1
1988-09-01,116.3
1988-10-01,117.1
1988-11-01,117.4
1988-12-01,117.6
1989-01-01,118.3
1989-02-01,118.6
1989-03-01,118.9
1989-04-01,119.3
1989-05-01,119.6
1989-06-01,119.6
1989-07-01,119.8
1989-08-01,119.5
1989-09-01,119.9
1989-10-01,120.6
1989-11-01,120.2
1989-12-01,119.4
1990-01-01,119.1
1990-02-01,119.0
1990-03-01,119.6
1990-04-01,120.1
1990-05-01,120.1
1990-06-01,119.5
1990-07-01,119.7
1990-08-01,119.5
1990-09-01,119.8
1990-10-01,119.6
1990-11-01,119.7
1990-12-01,119.7
1991-01-01,120.0
1991-02-01,119.9
1991-03-01,120.0
1991-04-01,120.1
1991-05-01,120.6
1991-06-01,121.4
1991-07-01,121.5
1991-08-01,120.3
1991-09-01,120.3
1991-10-01,120.2
1991-11-01,120.1
1991-12-01,120.2
1992-01-01,120.6
1992-02-01,121.9
1992-03-01,122.7
1992-04-01,122.8
1992-05-01,122.7
1992-06-01,122.6
1992-07-01,122.4
1992-08-01,122.4
1992-09-01,123.0
1992-10-01,122.6
1992-11-01,122.7
1992-12-01,123.7
1993-01-01,125.2
1993-02-01,127.4
1993-03-01,129.2
1993-04-01,129.5
1993-05-01,128.5
1993-06-01,127.7
1993-07-01,127.4
1993-08-01,128.2
1993-09-01,129.1
1993-10-01,129.3
1993-11-01,130.3
1993-12-01,131.4
1994-01-01,132.5
1994-02-01,132.4
1994-03-01,132.7
1994-04-01,132.1
1994-05-01,132.4
1994-06-01,133.3
1994-07-01,133.4
1994-08-01,134.1
1994-09-01,135.0
1994-10-01,135.3
1994-11-01,136.5
1994-12-01,136.5
1995-01-01,137.4
1995-02-01,138.0
1995-03-01,138.6
1995-04-01,139.2
1995-05-01,139.3
1995-06-01,138.9
1995-07-01,139.6
1995-08-01,139.8
1995-09-01,139.7
1995-10-01,139.1
1995-11-01,138.4
1995-12-01,138.1
1996-01-01,137.7
1996-02-01,137.7
1996-03-01,137.8
1996-04-01,138.2
1996-05-01,139.6
1996-06-01,140.0
1996-07-01,139.9
1996-08-01,140.4
1996-09-01,141.4
1996-10-01,140.7
1996-11-01,141.3
1996-12-01,140.9
1997-01-01,141.1
1997-02-01,141.8
1997-03-01,142.1
1997-04-01,142.6
1997-05-01,142.6
1997-06-01,142.5
1997-07-01,142.8
1997-08-01,142.6
1997-09-01,142.1
1997-10-01,141.5
1997-11-01,141.8
1997-12-01,141.4
1998-01-01,141.2
1998-02-01,141.3
1998-03-01,141.4
1998-04-01,141.8
1998-05-01,141.6
1998-06-01,141.2
1998-07-01,141.9
1998-08-01,142.4
1998-09-01,142.0
1998-10-01,140.8
1998-11-01,140.5
1998-12-01,140.5
1999-01-01,140.5
1999-02-01,141.1
1999-03-01,141.6
1999-04-01,141.6
1999-05-01,142.3
1999-06-01,143.9
1999-07-01,145.0
1999-08-01,144.8
1999-09-01,143.5
1999-10-01,142.6
1999-11-01,142.9
1999-12-01,143.3
2000-01-01,144.1
2000-02-01,144.7
2000-03-01,145.4
2000-04-01,145.6
2000-05-01,144.9
2000-06-01,145.0
2000-07-01,144.4
2000-08-01,143.7
2000-09-01,143.4
2000-10-01,143.3
2000-11-01,142.7
2000-12-01,142.5
2001-01-01,142.0
2001-02-01,142.4
2001-03-01,142.4
2001-04-01,142.5
2001-05-01,144.2
2001-06-01,144.3
2001-07-01,143.4
2001-08-01,143.3
2001-09-01,143.0
2001-10-01,142.3
2001-11-01,142.1
2001-12-01,141.7
2002-01-01,142.0
2002-02-01,142.2
2002-03-01,143.2
2002-04-01,143.5
2002-05-01,143.8
2002-06-01,144.3
2002-07-01,144.7
2002-08-01,145.1
2002-09-01,145.4
2002-10-01,145.0
2002-11-01,144.6
2002-12-01,144.3
2003-01-01,144.4
2003-02-01,145.2
2003-03-01,145.2
2003-04-01,145.9
2003-05-01,145.8
2003-06-01,146.1
2003-07-01,147.0
2003-08-01,147.2
2003-09-01,149.0
2003-10-01,149.6
2003-11-01,150.2
2003-12-01,149.7
2004-01-01,150.0
2004-02-01,153.4
2004-03-01,156.5
2004-04-01,160.1
2004-05-01,162.7
2004-06-01,162.0
2004-07-01,162.2
2004-08-01,165.9
2004-09-01,167.2
2004-10-01,165.9
2004-11-01,165.5
2004-12-01,166.3
2005-01-01,168.6
2005-02-01,170.4
2005-03-01,170.0
2005-04-01,170.0
2005-05-01,168.1
2005-06-01,167.8
2005-07-01,167.2
2005-08-01,165.9
2005-09-01,168.9
2005-10-01,171.6
2005-11-01,172.7
2005-12-01,173.5
2006-01-01,177.2
2006-02-01,177.7
2006-03-01,178.3
2006-04-01,179.0
2006-05-01,179.9
2006-06-01,180.7
2006-07-01,182.3
2006-08-01,182.6
2006-09-01,183.3
2006-10-01,182.3
2006-11-01,179.8
2006-12-01,179.8
2007-01-01,181.1
2007-02-01,181.5
2007-03-01,182.5
2007-04-01,183.7
2007-05-01,184.0
2007-06-01,184.0
2007-07-01,184.2
2007-08-01,183.9
2007-09-01,183.4
2007-10-01,183.0
2007-11-01,183.3
2007-12-01,183.5
2008-01-01,184.3
2008-02-01,185.7
2008-03-01,187.8
2008-04-01,190.9
2008-05-01,195.8
2008-06-01,200.4
2008-07-01,203.4
2008-08-01,206.5
2008-09-01,206.3
2008-10-01,201.8
2008-11-01,199.6
2008-12-01,194.8
2009-01-01,193.3
2009-02-01,191.2
2009-03-01,190.2
2009-04-01,188.1
2009-05-01,186.9
2009-06-01,187.1
2009-07-01,187.6
2009-08-01,188.1
2009-09-01,189.3
2009-10-01,189.7
2009-11-01,189.2
2009-12-01,189.4
2010-01-01,190.3
2010-02-01,192.2
2010-03-01,193.7
2010-04-01,196.5
2010-05-01,198.9
2010-06-01,197.2
2010-07-01,195.6
2010-08-01,194.1
2010-09-01,193.9
2010-10-01,193.8
2010-11-01,193.6
2010-12-01,194.2
2011-01-01,195.9
2011-02-01,198.1
2011-03-01,199.7
2011-04-01,201.1
2011-05-01,201.6
2011-06-01,201.9
2011-07-01,202.6
2011-08-01,202.8
2011-09-01,202.7
2011-10-01,202.7
2011-11-01,202.2
2011-12-01,202.2
2012-01-01,203.9
2012-02-01,205.1
2012-03-01,205.7
2012-04-01,206.3
2012-05-01,206.5
2012-06-01,206.6
2012-07-01,206.2
2012-08-01,205.5
2012-09-01,206.6
2012-10-01,205.5
2012-11-01,205.6
2012-12-01,206.4
2013-01-01,208.4
2013-02-01,209.1
2013-03-01,209.8
2013-04-01,210.7
2013-05-01,209.5
2013-06-01,208.8
2013-07-01,208.3
2013-08-01,208.9
2013-09-01,208.9
2013-10-01,209.3
2013-11-01,209.8
2013-12-01,209.8
2014-01-01,211.7
2014-02-01,212.7
2014-03-01,213.4
2014-04-01,213.6
2014-05-01,214.3
2014-06-01,214.5
2014-07-01,214.8
2014-08-01,215.5
2014-09-01,215.7
2014-10-01,215.9
2014-11-01,215.8
2014-12-01,215.5
2015-01-01,215.8
2015-02-01,215.3
2015-03-01,215.0
2015-04-01,214.5
2015-05-01,213.7
2015-06-01,213.7
2015-07-01,213.7
2015-08-01,213.3
2015-09-01,212.5
2015-10-01,212.4
2015-11-01,211.7
2015-12-01,210.9
2016-01-01,211.4
2016-02-01,211.3
2016-03-01,211.6
2016-04-01,212.7
2016-05-01,213.7
2016-06-01,214.6
2016-07-01,215.3
2016-08-01,216.0
2016-09-01,215.3
2016-10-01,214.8
2016-11-01,214.5
2016-12-01,215.5
2017-01-01,217.3
2017-02-01,218.8
2017-03-01,219.7
2017-04-01,221.0
2017-05-01,221.7
2017-06-01,221.9
2017-07-01,221.9
2017-08-01,222.4
2017-09-01,223.1
2017-10-01,223.9
2017-11-01,223.9
2017-12-01,224.1
2018-01-01,225.8
2018-02-01,228.7
2018-03-01,231.3
2018-04-01,232.4
2018-05-01,236.8
2018-06-01,239.2
2018-07-01,239.6
2018-08-01,239.4
2018-09-01,240.0
2018-10-01,238.7
2018-11-01,238.8
2018-12-01,238.3
2019-01-01,238.5
2019-02-01,238.1
2019-03-01,238.1
2019-04-01,237.2
2019-05-01,237.3
2019-06-01,236.3
2019-07-01,235.6
2019-08-01,234.4
2019-09-01,234.4
2019-10-01,233.8
2019-11-01,232.8
2019-12-01,232.2
2020-01-01,233.4
2020-02-01,234.6
2020-03-01,236.3
2020-04-01,234.3
2020-05-01,233.3
2020-06-01,234.8
2020-07-01,237.0
2020-08-01,240.9
2020-09-01,246.9
2020-10-01,246.4
2020-11-01,244.3
2020-12-01,248.0
2021-01-01,256.4
2021-02-01,264.6
2021-03-01,276.7
2021-04-01,291.8
2021-05-01,305.9
2021-06-01,315.7
2021-07-01,313.542
2021-08-01,313.083
2021-09-01,317.136
2021-10-01,322.120
2021-11-01,328.940
2021-12-01,335.032
2022-01-01,345.742
2022-02-01,343.583
2022-03-01,345.852
2022-04-01,343.786
2022-05-01,353.015
2022-06-01,349.800
2022-07-01,346.790
2022-08-01,342.753
2022-09-01,336.464
2022-10-01,333.796
2022-11-01,330.369
2022-12-01,326.449
2023-01-01,327.338
2023-02-01,330.532
2023-03-01,331.729
2023-04-01,333.366
2023-05-01,337.473
2023-06-01,337.336
2023-07-01,334.512
2023-08-01,333.794
2023-09-01,332.098
2023-10-01,328.743
2023-11-01,326.844
2023-12-01,327.644
2024-01-01,334.259
2024-02-01,337.658
2024-03-01,333.566
2024-04-01,332.277
